POSTE,DATE,RR,TN,HTN,TX,HTX,TM,TNSOL,TN50,TAMPLI,TNTXM,FF2M,FXI2,DXI2,HXI2,UN,HUN,UX,HUX,DHUMI40,DHUMI80,UM,GLOT,annee,saison,GDD
34150001,2017-01-01,0,2.5,1742,10.9,1148,6.1,-1.3,-0.8,8.4,6.7,0.8,4,10,136,77,1348,93,2354,0,1182,88,739,2017,NA,3.45
34150001,2017-01-02,0,2.4,2106,12.7,1318,6.5,-3.3,-2.2,10.3,7.6,0.9,4,60,1136,67,1324,94,648,0,1092,86,657,2017,NA,7.8
34150001,2017-01-03,0,0.1,512,12.6,1412,4.5,-3,-1.6,12.5,6.4,1.9,6,290,1006,37,1406,94,724,36,840,76,800,2017,NA,12.100000000000001
34150001,2017-01-04,0.5,-1.5,254,12,1336,4.8,-5.8,-3.5,13.5,5.3,3.3,11,300,2312,28,1718,90,430,192,546,65,768,2017,NA,16.1
34150001,2017-01-05,0,3.7,442,9.7,1312,6.3,1.2,2.5,6,6.7,4.8,12,320,1330,39,1436,75,512,42,0,57,796,2017,NA,18.95
34150001,2017-01-06,0,-0.9,712,8.2,1442,3.3,-6,-3.3,9.1,3.7,1.6,8,300,112,38,1142,70,2354,144,0,54,810,2017,NA,21.05
34150001,2017-01-07,0,-5.7,418,7,1506,0.5,-10.7,-10.4,12.7,0.7,0.9,6,270,2324,39,1518,87,812,24,306,69,860,2017,NA,22.55
34150001,2017-01-08,0,-1.9,1924,12.7,1112,7.5,-5.7,-5,14.6,5.4,4.7,12,310,1500,45,554,68,418,0,0,57,608,2017,NA,26.9
34150001,2017-01-09,0,1.9,424,9.6,1430,5.7,-4.7,-2.3,7.7,5.8,3,10,310,1524,49,1354,76,2354,0,0,66,832,2017,NA,29.7
34150001,2017-01-10,0,4,2136,12,1418,8.1,-0.8,1.8,8,8,2.5,11,310,1500,61,1654,80,812,0,0,73,267,2017,NA,33.7
34150001,2017-01-11,0,3.1,442,11.5,1148,6.3,0.1,1.7,8.4,7.3,1.6,6,310,1048,58,1136,90,2354,0,294,75,626,2017,NA,37.45
34150001,2017-01-12,0,2.5,2042,16.2,1336,11.3,-0.9,-0.2,13.7,9.4,1.8,10,250,2248,65,1454,92,130,0,906,82,775,2017,NA,43.55
34150001,2017-01-13,0,6.1,724,10.1,1336,8,4.8,5.5,4,8.1,5.1,15,270,1512,46,1506,77,0,0,0,58,839,2017,NA,47.65
34150001,2017-01-14,0,3,724,8.1,1354,5.3,-0.7,1.4,5.1,5.6,4.3,14,340,1212,39,1454,72,748,0,0,60,809,2017,NA,49.699999999999996
