x,y,date,cell,polyclass,bleu,vert,rouge,pir,pre_abs
541485,4797315,20170314,38620,eau,0.0397,0.0568,0.0475,0,abs
541475,4797305,20170314,39046,eau,0.0418,0.0575,0.0493,0,abs
541485,4797305,20170314,39047,eau,0.04,0.0598,0.0497,0,abs
541465,4797295,20170314,39472,eau,0.0434,0.063,0.0511,0,abs
541475,4797295,20170314,39473,eau,0.044,0.063,0.0527,0,abs
541485,4797295,20170314,39474,eau,0.0441,0.0624,0.0519,0,abs
541495,4797295,20170314,39475,eau,0.0421,0.0609,0.051,0,abs
541505,4797295,20170314,39476,eau,0.0423,0.0617,0.0511,0,abs
541515,4797295,20170314,39477,eau,0.0434,0.0651,0.0538,0,abs
541525,4797295,20170314,39478,eau,0.0426,0.067,0.0532,0,abs
541535,4797295,20170314,39479,eau,0.0438,0.0662,0.0555,0,abs
541545,4797295,20170314,39480,eau,0.0417,0.0661,0.0548,0,abs
541455,4797285,20170314,39898,eau,0.0434,0.0641,0.052,0,abs
541465,4797285,20170314,39899,eau,0.0458,0.0667,0.0552,0,abs
541475,4797285,20170314,39900,eau,0.0462,0.0654,0.0551,0,abs
541485,4797285,20170314,39901,eau,0.0445,0.0643,0.0535,0,abs
541495,4797285,20170314,39902,eau,0.0436,0.0627,0.0534,0,abs
541505,4797285,20170314,39903,eau,0.0464,0.0667,0.053900000000000003,0,abs
541515,4797285,20170314,39904,eau,0.0447,0.065,0.0537,0,abs
541525,4797285,20170314,39905,eau,0.0437,0.0654,0.0527,0,abs
541535,4797285,20170314,39906,eau,0.043,0.0656,0.0536,0,abs
541455,4797275,20170314,40325,eau,0.0443,0.0601,0.0507,0,abs
541495,4797275,20170314,40329,eau,0.0432,0.0645,0.0521,0,abs
541505,4797275,20170314,40330,eau,0.0443,0.064,0.0524,0,abs
541515,4797275,20170314,40331,eau,0.0437,0.065,0.0542,0,abs
541525,4797275,20170314,40332,eau,0.0457,0.0659,0.0526,0,abs
541535,4797275,20170314,40333,eau,0.0455,0.0658,0.0537,0,abs
541455,4797265,20170314,40752,eau,0.0423,0.062,0.0513,0,abs
542355,4796775,20170314,61765,eau,0.0317,0.0488,0.0394,0,abs
542365,4796775,20170314,61766,eau,0.032,0.049,0.0399,0,abs
542375,4796775,20170314,61767,eau,0.0343,0.052,0.042,0,abs
542385,4796775,20170314,61768,eau,0.0328,0.0521,0.0421,0,abs
542395,4796775,20170314,61769,eau,0.0339,0.0558,0.0458,0,abs
542405,4796775,20170314,61770,eau,0.0354,0.0569,0.0491,0.0027,abs
542415,4796775,20170314,61771,eau,0.0368,0.0547,0.0506,0.0075,abs
542355,4796765,20170314,62192,eau,0.0328,0.0472,0.0388,0,abs
542365,4796765,20170314,62193,eau,0.0326,0.0465,0.038,0,abs
542375,4796765,20170314,62194,eau,0.0335,0.0493,0.0395,0,abs
542385,4796765,20170314,62195,eau,0.0319,0.0526,0.0407,0,abs
542395,4796765,20170314,62196,eau,0.0334,0.053,0.0426,0,abs
542405,4796765,20170314,62197,eau,0.0351,0.0558,0.0462,0,abs
542415,4796765,20170314,62198,eau,0.0356,0.0581,0.0491,0,abs
542425,4796765,20170314,62199,eau,0.0384,0.0597,0.0481,0,abs
542355,4796755,20170314,62619,eau,0.0316,0.0476,0.0379,0,abs
542365,4796755,20170314,62620,eau,0.0319,0.0471,0.0378,0,abs
542375,4796755,20170314,62621,eau,0.0316,0.0477,0.039,0,abs
542385,4796755,20170314,62622,eau,0.0304,0.0477,0.0404,0,abs
542395,4796755,20170314,62623,eau,0.0318,0.0504,0.0408,0,abs
542405,4796755,20170314,62624,eau,0.0341,0.0538,0.044,0,abs
542415,4796755,20170314,62625,eau,0.0356,0.0544,0.0454,0,abs
542425,4796755,20170314,62626,eau,0.0359,0.0581,0.0468,0,abs
542355,4796745,20170314,63046,eau,0.0289,0.0468,0.0376,0,abs
542365,4796745,20170314,63047,eau,0.0313,0.0465,0.0384,0,abs
542375,4796745,20170314,63048,eau,0.0314,0.049,0.0383,0,abs
542385,4796745,20170314,63049,eau,0.0316,0.0496,0.0385,0,abs
542395,4796745,20170314,63050,eau,0.0333,0.0507,0.0414,0,abs
542405,4796745,20170314,63051,eau,0.0322,0.053,0.0429,0,abs
542415,4796745,20170314,63052,eau,0.0343,0.053,0.0438,0,abs
542425,4796745,20170314,63053,eau,0.0348,0.0546,0.0457,0,abs
542355,4796735,20170314,63473,eau,0.0317,0.0457,0.0363,0,abs
542365,4796735,20170314,63474,eau,0.0305,0.0464,0.0365,0,abs
542375,4796735,20170314,63475,eau,0.0326,0.0481,0.0377,0,abs
542385,4796735,20170314,63476,eau,0.033,0.0466,0.0388,0,abs
542395,4796735,20170314,63477,eau,0.0333,0.0494,0.0396,0,abs
542405,4796735,20170314,63478,eau,0.0335,0.0513,0.0416,0,abs
542415,4796735,20170314,63479,eau,0.0326,0.0509,0.0411,0,abs
542425,4796735,20170314,63480,eau,0.0323,0.0536,0.0425,0,abs
542355,4796725,20170314,63900,eau,0.0318,0.0455,0.0348,0,abs
542365,4796725,20170314,63901,eau,0.0311,0.0467,0.0356,0,abs
542375,4796725,20170314,63902,eau,0.0301,0.047,0.0383,0,abs
