date,surface,niveau_ngf,temperature,salinite,conductivite,oxygene,saturation
2017-01-03,48600,0.19,4.4,6.2,11.4,11.4,86
2017-01-13,43400,0.22,NA,NA,NA,NA,NA
2017-02-22,47500,0.58,10.2,3.7,6.93,11.1,96
2017-03-14,45500,0.65,NA,NA,NA,NA,NA
2017-04-03,48600,0.67,14.5,2.8,5.41,13,126
2017-04-23,71600,0.63,NA,NA,NA,NA,NA
2017-05-23,144200,0.57,NA,NA,NA,NA,NA
2017-06-02,130000,0.55,NA,NA,NA,NA,NA
2017-06-12,267000,0.52,NA,NA,NA,NA,NA
2017-06-22,505000,0.46,NA,NA,NA,NA,NA
2017-07-07,1042200,0.38,NA,NA,NA,NA,NA
2017-07-12,1311200,0.36,23.4,5.3,9.36,9.57,112
2017-07-17,1369500,0.31,NA,NA,NA,NA,NA
2017-07-22,1385200,0.28,19.6,6.4,11.3,7.22,78
2017-08-06,1440400,0.22,NA,NA,NA,NA,NA
2017-08-21,1451500,0.1,19.5,9,15.5,4,43.2
2017-09-05,1450400,0.06,19.4,13.6,22.7,4.65,49.4
2017-09-10,1436300,0.02,NA,NA,NA,NA,NA
2017-09-20,1421300,0.01,12.9,14,23.6,8.56,79.8
2017-10-05,1425600,-0.01,NA,NA,NA,NA,NA
2017-10-10,1401700,-0.03,NA,NA,NA,NA,NA
2017-10-25,1416200,0,NA,NA,NA,NA,NA
2017-10-30,1395500,-0.01,7.8,17.6,29.5,6.3,51.7
2017-11-14,1376700,-0.01,6.2,15.7,26.7,11.5,90.2
2017-11-19,1377600,-0.03,NA,NA,NA,NA,NA
2017-11-29,1331000,-0.04,7.6,18,30.5,7.8,56.3
2017-12-09,1335000,-0.05,5.1,16.8,28.5,11.3,87.4
2017-12-19,1344700,-0.05,NA,NA,NA,NA,NA
2017-12-24,1330200,-0.05,6.6,17.5,29.4,10.14,80.8
2018-01-03,1301500,-0.04,NA,NA,NA,NA,NA
2018-01-23,574300,0.15,NA,10.8,18.8,9.44,78
2018-01-28,152700,0.15,NA,NA,NA,NA,NA
2018-02-02,545000,0.33,NA,6.1,11.16,12.4,88.5
2018-02-27,42500,0.385,NA,5.4,9.91,10.5,90.5
2018-03-14,29500,0.68,NA,NA,NA,NA,NA
2018-03-19,58700,0.67,7,3.6,6.9,13.4,110.4
2018-04-18,56000,0.66,13.7,3.7,6.93,9,87.2
2018-05-03,762500,0.65,15.4,3.3,6.26,7,69.3
2018-05-18,871600,0.65,20.3,3.5,6.51,8.45,92.5
2018-05-23,1041600,0.65,20.3,3.5,6.51,8.45,92.5
2018-06-27,1389000,0.61,24.6,3.5,6.4,2.36,28
2018-07-02,1408800,0.61,24.6,3.5,6.4,2.36,28
2018-07-07,1433800,0.555,24.5,3.5,6.36,6.25,73.7
2018-07-17,1485400,0.555,24.5,3.5,6.36,6.25,73.7
2018-07-27,1436600,0.48,24,3.9,7.13,6.12,71.9
2018-08-01,1439300,0.48,24,3.9,7.13,6.12,71.9
2018-08-06,1460800,0.48,24,3.9,7.13,6.12,71.9
2018-08-11,1514500,0.34,23.3,4.9,NA,1.49,17.2
2018-08-16,1508400,0.34,23.3,4.9,NA,1.49,17.2
2018-08-21,1497200,0.34,23.3,4.9,NA,1.49,17.2
2018-08-26,1512800,0.34,23.3,4.9,NA,1.49,17.2
2018-09-05,1462900,0.245,19,5.7,10.08,NA,NA
2018-09-20,1508400,0.19,21.4,6.8,11.83,NA,NA
2018-09-25,1510100,0.19,21.4,6.8,11.83,NA,NA
2018-09-30,1494600,0.13,13.9,8.4,14.64,2.9,27.6
2018-10-05,1496300,0.13,13.9,8.4,14.64,2.9,27.6
2018-10-20,1458400,0.265,18.3,6,10.63,7.25,76.2
2018-10-25,1460300,0.265,18.3,6,10.63,7.25,76.2
2018-11-24,663300,0.505,9.6,3.6,6.78,NA,NA
2018-12-04,128600,0.545,11.2,3.2,6.08,NA,NA
2018-12-14,204300,0.595,8.4,3.5,6.55,7,59.1
2018-12-24,129500,0.595,8.4,3.5,6.55,7,59.1
2018-12-29,111600,0.64,1.7,2.8,5.49,13.93,96.6
2019-01-03,84000,0.64,1.7,2.8,5.49,13.93,96.6
2019-02-12,144800,0.645,6.4,2.8,5.53,12.9,102.4
2019-02-22,120600,0.655,13.4,3.1,5.91,6.07,56.5
2019-02-27,105100,0.655,13.4,3.1,5.91,6.07,56.5
2019-03-04,73400,0.655,13.4,3.1,5.91,6.07,56.5
2019-03-09,77100,0.66,11.4,3.2,6.01,10.35,93.3
2019-03-24,249100,0.62,10,3,5.66,9.9,87.6
2019-03-29,445900,0.62,10,3,5.66,9.9,87.6
2019-04-13,330800,0.605,13.6,3.1,5.91,9.46,91.5
2019-05-13,1334400,0.58,14.9,3.2,6.02,8.15,80.7
2019-05-23,1386200,0.51,9.42,3.3,6.11,3.03,32.3
